    x         y        ÏÊÐÀ      ËÊÐÀ   
  1.058984  2.513953  3.926692  3.925589
  1.059375  2.515486  3.927795  3.926692
  1.059766  2.517021  3.928897  3.927795
  1.060156  2.518555  3.930000  3.928897
  1.060547  2.520091  3.931102  3.930000
  1.060938  2.521626  3.932203  3.931102
  1.061328  2.523162  3.933305  3.932203
  1.061719  2.524699  3.934405  3.933305
  1.062109  2.526236  3.935506  3.934405
  1.062500  2.527773  3.936606  3.935506
  1.062891  2.529311  3.937706  3.936606
  1.063281  2.530849  3.938806  3.937706
  1.063672  2.532387  3.939905  3.938806
  1.064063  2.533926  3.941004  3.939905
  1.064453  2.535466  3.942102  3.941004
  1.064844  2.537006  3.943200  3.942102
  1.065234  2.538546  3.944298  3.943200
  1.065625  2.540087  3.945396  3.944298
  1.066016  2.541628  3.946493  3.945396
  1.066406  2.543170  3.947589  3.946493
  1.066797  2.544712  3.948686  3.947589
  1.067188  2.546254  3.949782  3.948686
  1.067578  2.547797  3.950878  3.949782
  1.067969  2.549340  3.951973  3.950878
  1.068359  2.550884  3.953068  3.951973
  1.068750  2.552428  3.954163  3.953068
  1.069141  2.553973  3.955257  3.954163
  1.069531  2.555518  3.956351  3.955257
  1.069922  2.557063  3.957445  3.956351
  1.070313  2.558609  3.958538  3.957445
  1.070703  2.560155  3.959631  3.958538
  1.071094  2.561702  3.960723  3.959631
  1.071484  2.563249  3.961816  3.960723
  1.071875  2.564797  3.962908  3.961816
  1.072266  2.566345  3.963999  3.962908
  1.072656  2.567893  3.965090  3.963999
  1.073047  2.569442  3.966181  3.965090
  1.073438  2.570991  3.967271  3.966181
  1.073828  2.572541  3.968361  3.967271
  1.074219  2.574091  3.969451  3.968361
  1.074609  2.575642  3.970540  3.969451
  1.075000  2.577193  3.971629  3.970540
  1.075391  2.578744  3.972718  3.971629
  1.075781  2.580296  3.973806  3.972718
  1.076172  2.581848  3.974894  3.973806
  1.076563  2.583401  3.975982  3.974894
  1.076953  2.584954  3.977069  3.975982
  1.077344  2.586508  3.978156  3.977069
  1.077734  2.588062  3.979242  3.978156
  1.078125  2.589616  3.980328  3.979242
  1.078516  2.591171  3.981414  3.980328
  1.078906  2.592726  3.982499  3.981414
