Лабораторная работа №4. Вариант 2.
После проведения вычисления, получим таблицу:
при условии, что выполнено условие Куранта и коэффициент при функции равен 1.

 0,9500|      0,412      0,755      1,022      0,788      0,897      1,298      0,785      1,378      2,669      2,328      0,292
 0,9000|      0,426      0,961      1,443      1,298      1,701      1,758      1,721      3,056      4,028      2,872      0,299
 0,8500|      0,440      1,157      1,709      1,948      2,421      2,196      3,001      4,645      4,857      3,062      0,305
 0,8000|      0,455      1,316      1,900      2,658      2,968      2,893      4,492      5,876      5,184      3,012      0,313
 0,7500|      0,471      1,408      2,137      3,259      3,420      4,010      5,930      6,589      5,142      2,831      0,320
 0,7000|      0,488      1,450      2,473      3,621      3,981      5,460      7,054      6,777      4,885      2,601      0,328
 0,6500|      0,506      1,509      2,842      3,787      4,822      6,940      7,711      6,561      4,530      2,374      0,336
 0,6000|      0,526      1,653      3,116      3,977      5,935      8,084      7,889      6,126      4,145      2,177      0,345
 0,5500|      0,548      1,882      3,240      4,443      7,097      8,643      7,675      5,637      3,763      2,015      0,354
 0,5000|      0,571      2,118      3,326      5,272      7,982      8,574      7,194      5,189      3,413      1,874      0,364
 0,4500|      0,597      2,271      3,598      6,293      8,339      8,012      6,558      4,799      3,123      1,742      0,374
 0,4000|      0,625      2,338      4,213      7,153      8,103      7,170      5,846      4,430      2,907      1,613      0,385
 0,3500|      0,656      2,446      5,094      7,516      7,396      6,230      5,111      4,035      2,749      1,501      0,396
 0,3000|      0,690      2,770      5,920      7,244      6,429      5,302      4,388      3,587      2,600      1,425      0,408
 0,2500|      0,727      3,361      6,290      6,438      5,384      4,428      3,693      3,093      2,405      1,389      0,421
 0,2000|      0,769      4,027      5,965      5,332      4,364      3,610      3,033      2,577      2,128      1,365      0,435
 0,1500|      0,816      4,364      4,998      4,143      3,398      2,836      2,403      2,063      1,773      1,300      0,449
 0,1000|      0,870      3,972      3,659      2,981      2,478      2,094      1,797      1,561      1,372      1,140      0,465
 0,0500|      0,930      2,727      2,229      1,864      1,588      1,375      1,207      1,072      0,962      0,870      0,482
 0,0000|      1,000      0,909      0,833      0,769      0,714      0,667      0,625      0,588      0,556      0,526      0,500
 t / x |      0,000      0,100      0,200      0,300      0,400      0,500      0,600      0,700      0,800      0,900      1,000
