Лабораторная работа №4. Вариант 2.
После проведения вычисления, получим таблицу:
при условии, что не выполнено условие Куранта и коэффициент при функции равен 1.

 1,0000|      0,400-723463675,6511108612795,366-1058570749,707736914858,078-386209388,565150804779,318-41932747,4597489099,156-652825,331 -90880,0711045652,079-5866087,41721127272,371-54166401,137103439252,581-148679724,804155772975,274-101679670,425      0,286
 0,9000|      0,42661004880,697-90669690,10382018828,018-52527235,03324326668,510-7888981,4721627473,842-163190,841     18,571     15,680 -22712,213 227331,505-1104230,5553410219,650-7371606,54711519516,057-12741293,1058575305,554      0,299
 0,8000|      0,455-5244367,2277500180,125-6329918,9343630538,244-1415488,507 345678,927 -40784,835     15,551     13,264     11,432      9,943  -5672,682  48315,586-198265,167 509329,533-888970,1451054069,807-737334,126      0,313
 0,7000|      0,488 462044,993-628535,281 483559,069-237624,185  71131,222 -10185,453     13,085     11,259      9,779      8,563      7,555      6,709  -1414,356   9951,831 -33311,895  67902,176 -88342,822  64979,684      0,328
 0,6000|      0,526 -42041,897  53447,816 -36073,339  13968,036  -2537,371     11,021      9,554      8,353      7,358      6,525      5,823      5,225      4,712   -350,818   1957,866  -5061,774   7514,565  -5913,951      0,345
 0,5000|      0,571   3999,766  -4612,554   2544,376   -626,868      9,240      8,062      7,088      6,275      5,591      5,009      4,512      4,084      3,713      3,389    -85,666    358,193   -647,466    563,663      0,364
 0,4000|      0,625   -404,624    404,079   -150,603      7,644      6,705      5,924      5,268      4,713      4,239      3,832      3,480      3,174      2,906      2,671      2,463    -19,914     57,659    -56,435      0,385
 0,3000|      0,690     46,796    -32,827      6,141      5,413      4,804      4,290      3,853      3,479      3,156      2,876      2,632      2,419      2,230      2,063      1,915      1,783     -3,884      7,121      0,408
 0,2000|      0,769     -4,696      4,631      4,104      3,660      3,285      2,965      2,691      2,453      2,246      2,066      1,907      1,767      1,642      1,531      1,432      1,343      1,263     -0,197      0,435
 0,1000|      0,870      2,985      2,671      2,407      2,182      1,989      1,823      1,679      1,552      1,442      1,344      1,257      1,179      1,110      1,047      0,991      0,940      0,893      0,851      0,465
 0,0000|      1,000      0,952      0,909      0,870      0,833      0,800      0,769      0,741      0,714      0,690      0,667      0,645      0,625      0,606      0,588      0,571      0,556      0,541      0,526      0,513
 t / x |      0,000      0,050      0,100      0,150      0,200      0,250      0,300      0,350      0,400      0,450      0,500      0,550      0,600      0,650      0,700      0,750      0,800      0,850      0,900      0,950
