Численные методы решения ОДУ первого порядка.
Вариант 2.
Лабораторная работа №3.
y' = f(x, y) = 2 * (2 - x) * y + 0.01 * exp(-x * x)
x = [1, 6]
y(А) = 10

По методу Хойна. Время работы этого метода: 0

x		y
2.7375		15.7803
2.74375		15.6349
2.75		15.4896
2.75625		15.3445
2.7625		15.1995
2.76875		15.0547
2.775		14.9102
2.78125		14.7659
2.7875		14.6218
2.79375		14.478
2.8		14.3345
2.80625		14.1913
2.8125		14.0485
2.81875		13.906
2.825		13.7638
2.83125		13.6221
2.8375		13.4808
2.84375		13.3399
2.85		13.1994
2.85625		13.0594
2.8625		12.9198
2.86875		12.7808
2.875		12.6423
2.88125		12.5043
2.8875		12.3668
2.89375		12.2299
2.9		12.0936
2.90625		11.9578
2.9125		11.8226
2.91875		11.6881
2.925		11.5542
2.93125		11.4209
2.9375		11.2883
2.94375		11.1564
2.95		11.0251
2.95625		10.8945
2.9625		10.7647
2.96875		10.6355
2.975		10.5071
2.98125		10.3794
2.9875		10.2525
2.99375		10.1263
3		10.0009
3.00625		9.8763
3.0125		9.75248
3.01875		9.62945
3.025		9.50724
3.03125		9.38584
3.0375		9.26527
3.04375		9.14553
3.05		9.02664
3.05625		8.90859
3.0625		8.7914
3.06875		8.67508
3.075		8.55963
3.08125		8.44505
3.0875		8.33135
3.09375		8.21855
3.1		8.10664
3.10625		7.99562
3.1125		7.88552
3.11875		7.77632
3.125		7.66803
3.13125		7.56066
3.1375		7.45421
3.14375		7.34869
3.15		7.2441
3.15625		7.14043
3.1625		7.0377
3.16875		6.93591
3.175		6.83505
3.18125		6.73514
3.1875		6.63616
3.19375		6.53813
3.2		6.44105
3.20625		6.34491
3.2125		6.24972
3.21875		6.15547
3.225		6.06217
3.23125		5.96982
3.2375		5.87842
3.24375		5.78797
3.25		5.69846
3.25625		5.6099
3.2625		5.52228
3.26875		5.43561
3.275		5.34988
3.28125		5.26509
3.2875		5.18124
3.29375		5.09832
3.3		5.01634
3.30625		4.9353
3.3125		4.85518
3.31875		4.77599
3.325		4.69773
3.33125		4.62039
3.3375		4.54396
3.34375		4.46845
3.35		4.39386
3.35625		4.32017
3.3625		4.24738
3.36875		4.1755
3.375		4.10451
3.38125		4.03441
3.3875		3.9652
3.39375		3.89687
3.4		3.82942
3.40625		3.76285
3.4125		3.69714
3.41875		3.6323
3.425		3.56831
3.43125		3.50518
3.4375		3.4429
3.44375		3.38146
3.45		3.32085
3.45625		3.26108
3.4625		3.20214
3.46875		3.14401
3.475		3.0867
3.48125		3.03019
3.4875		2.97449
3.49375		2.91958
3.5		2.86546
3.50625		2.81213
3.5125		2.75957
3.51875		2.70779
3.525		2.65677
3.53125		2.6065
3.5375		2.55699
3.54375		2.50822
3.55		2.46019
3.55625		2.41289
3.5625		2.36632
3.56875		2.32046
3.575		2.27532
3.58125		2.23088
3.5875		2.18713
3.59375		2.14408
3.6		2.10171
3.60625		2.06001
3.6125		2.01899
3.61875		1.97863
3.625		1.93892
3.63125		1.89986
3.6375		1.86144
3.64375		1.82366
3.65		1.78651
3.65625		1.74997
3.6625		1.71405
3.66875		1.67873
3.675		1.64402
3.68125		1.60989
3.6875		1.57635
3.69375		1.54339
3.7		1.511
3.70625		1.47918
3.7125		1.44791
3.71875		1.41719
3.725		1.38702
3.73125		1.35738
3.7375		1.32827
3.74375		1.29968
3.75		1.27161
3.75625		1.24405
3.7625		1.217
3.76875		1.19043
3.775		1.16436
3.78125		1.13877
3.7875		1.11365
3.79375		1.089
3.8		1.06482
3.80625		1.04109
3.8125		1.01781
3.81875		0.994969
3.825		0.972568
3.83125		0.950598
3.8375		0.929051
3.84375		0.907921
3.85		0.887203
3.85625		0.86689
3.8625		0.846975
3.86875		0.827454
3.875		0.808319
3.88125		0.789566
3.8875		0.771187
3.89375		0.753177
3.9		0.73553
3.90625		0.71824
3.9125		0.701303
3.91875		0.684711
3.925		0.668459
3.93125		0.652542
3.9375		0.636955
3.94375		0.621691
3.95		0.606746
3.95625		0.592114
3.9625		0.577789
3.96875		0.563767
3.975		0.550042
3.98125		0.53661
3.9875		0.523464
3.99375		0.510601
4		0.498015
4.00625		0.485701
4.0125		0.473655
4.01875		0.461872
4.025		0.450346
4.03125		0.439074
4.0375		0.42805
4.04375		0.417271
4.05		0.406731
4.05625		0.396427
4.0625		0.386353
4.06875		0.376506
4.075		0.366882
4.08125		0.357475
4.0875		0.348283
4.09375		0.3393
4.1		0.330523
4.10625		0.321948
4.1125		0.313571
4.11875		0.305388
4.125		0.297396
4.13125		0.28959
4.1375		0.281967
4.14375		0.274523
4.15		0.267255
4.15625		0.260158
4.1625		0.253231
4.16875		0.246469
4.175		0.239868
4.18125		0.233426
4.1875		0.22714
4.19375		0.221005
4.2		0.21502
4.20625		0.20918
4.2125		0.203483
4.21875		0.197925
4.225		0.192504
4.23125		0.187217
4.2375		0.182062
4.24375		0.177034
4.25		0.172131
4.25625		0.167352
4.2625		0.162692
4.26875		0.15815
4.275		0.153722
4.28125		0.149407
4.2875		0.145202
4.29375		0.141104
4.3		0.137111
4.30625		0.13322
4.3125		0.12943
4.31875		0.125738
4.325		0.122142
4.33125		0.118639
4.3375		0.115227
4.34375		0.111906
4.35		0.108671
4.35625		0.105521
4.3625		0.102455
4.36875		0.0994704
4.375		0.0965649
4.38125		0.0937371
4.3875		0.0909849
4.39375		0.0883066
4.4		0.0857005
4.40625		0.0831648
4.4125		0.0806978
4.41875		0.0782979
4.425		0.0759635
4.43125		0.0736928
4.4375		0.0714845
4.44375		0.0693369
4.45		0.0672486
4.45625		0.0652181
4.4625		0.063244
4.46875		0.0613248
4.475		0.0594593
4.48125		0.057646
4.4875		0.0558836
4.49375		0.0541709
4.5		0.0525065
4.50625		0.0508893
4.5125		0.0493181
4.51875		0.0477917
4.525		0.0463089
4.53125		0.0448686
4.5375		0.0434696
4.54375		0.0421111
4.55		0.0407918
4.55625		0.0395107
4.5625		0.0382669
4.56875		0.0370593
4.575		0.0358871
4.58125		0.0347492
4.5875		0.0336448
4.59375		0.0325729
4.6		0.0315327
4.60625		0.0305234
4.6125		0.029544
4.61875		0.0285939
4.625		0.0276721
4.63125		0.026778
4.6375		0.0259107
4.64375		0.0250695
4.65		0.0242538
4.65625		0.0234628
4.6625		0.0226958
4.66875		0.0219522
4.675		0.0212313
4.68125		0.0205324
4.6875		0.019855
4.69375		0.0191984
4.7		0.0185622
4.70625		0.0179456
4.7125		0.0173481
4.71875		0.0167692
4.725		0.0162084
4.73125		0.015665
4.7375		0.0151388
4.74375		0.014629
4.75		0.0141354
4.75625		0.0136573
4.7625		0.0131943
4.76875		0.0127461
4.775		0.0123121
4.78125		0.011892
4.7875		0.0114853
4.79375		0.0110916
4.8		0.0107106
4.80625		0.0103419
4.8125		0.00998511
4.81875		0.00963986
4.825		0.00930583
4.83125		0.00898267
4.8375		0.00867005
4.84375		0.00836766
4.85		0.00807519
4.85625		0.00779233
4.8625		0.0075188
4.86875		0.00725429
4.875		0.00699855
4.88125		0.0067513
4.8875		0.00651227
4.89375		0.00628121
4.9		0.00605788
4.90625		0.00584204
4.9125		0.00563344
4.91875		0.00543187
