Численные методы решения ОДУ первого порядка.
Вариант 2.
Лабораторная работа №3.
y' = f(x, y) = 2 * (2 - x) * y + 0.01 * exp(-x * x)
x = [1, 6]
y(А) = 10

По методу Эйлера. Время работы этого метода: 13

x		y
1.01519		10.306
1.01523		10.307
1.01528		10.308
1.01533		10.309
1.01538		10.31
1.01543		10.311
1.01548		10.312
1.01553		10.313
1.01558		10.314
1.01562		10.315
1.01567		10.316
1.01572		10.3169
1.01577		10.3179
1.01582		10.3189
1.01587		10.3199
1.01592		10.3209
1.01597		10.3219
1.01602		10.3229
1.01606		10.3239
1.01611		10.3249
1.01616		10.3259
1.01621		10.3269
1.01626		10.3279
1.01631		10.3289
1.01636		10.3298
1.01641		10.3308
1.01646		10.3318
1.0165		10.3328
1.01655		10.3338
1.0166		10.3348
1.01665		10.3358
1.0167		10.3368
1.01675		10.3378
1.0168		10.3388
1.01685		10.3398
1.01689		10.3408
1.01694		10.3418
1.01699		10.3428
1.01704		10.3437
1.01709		10.3447
1.01714		10.3457
1.01719		10.3467
1.01724		10.3477
1.01729		10.3487
1.01733		10.3497
1.01738		10.3507
1.01743		10.3517
1.01748		10.3527
1.01753		10.3537
1.01758		10.3547
1.01763		10.3557
1.01768		10.3567
1.01772		10.3577
1.01777		10.3586
1.01782		10.3596
1.01787		10.3606
1.01792		10.3616
1.01797		10.3626
1.01802		10.3636
1.01807		10.3646
1.01812		10.3656
1.01816		10.3666
1.01821		10.3676
1.01826		10.3686
1.01831		10.3696
1.01836		10.3706
1.01841		10.3716
1.01846		10.3726
1.01851		10.3736
1.01855		10.3746
1.0186		10.3755
1.01865		10.3765
1.0187		10.3775
1.01875		10.3785
1.0188		10.3795
1.01885		10.3805
1.0189		10.3815
1.01895		10.3825
1.01899		10.3835
1.01904		10.3845
1.01909		10.3855
1.01914		10.3865
1.01919		10.3875
1.01924		10.3885
1.01929		10.3895
1.01934		10.3905
1.01938		10.3915
1.01943		10.3925
1.01948		10.3935
1.01953		10.3945
1.01958		10.3954
1.01963		10.3964
1.01968		10.3974
1.01973		10.3984
1.01978		10.3994
1.01982		10.4004
1.01987		10.4014
1.01992		10.4024
1.01997		10.4034
1.02002		10.4044
1.02007		10.4054
1.02012		10.4064
1.02017		10.4074
1.02021		10.4084
1.02026		10.4094
1.02031		10.4104
1.02036		10.4114
1.02041		10.4124
1.02046		10.4134
1.02051		10.4144
1.02056		10.4154
1.02061		10.4164
1.02065		10.4174
1.0207		10.4184
1.02075		10.4194
1.0208		10.4203
1.02085		10.4213
1.0209		10.4223
1.02095		10.4233
1.021		10.4243
1.02104		10.4253
1.02109		10.4263
1.02114		10.4273
